CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
10001,452,Germany,Female,36,7,1551.93,2,0,1,83891.48,0
10002,785,France,Female,63,10,95058.6,1,1,1,74942.25,0
10003,698,Germany,Male,37,7,0.0,1,1,1,72222.92,0
10004,620,France,Male,59,5,125475.1,1,1,0,88247.09,1
10005,456,France,Female,58,3,195883.97,2,1,0,147581.06,1
10006,421,Germany,Male,59,10,92880.58,2,0,1,124741.58,1
10007,538,France,Female,46,10,163499.65,1,0,0,137001.18,1
10008,370,Spain,Male,23,4,101556.84,1,1,0,19001.34,0
10009,452,France,Male,34,1,99168.01,2,0,0,33945.41,0
10010,471,France,Male,42,5,0.0,2,0,0,26443.09,0
10011,816,Spain,Male,55,2,0.0,1,1,1,50536.19,0
10012,564,Spain,Female,21,5,157160.09,2,1,0,74655.49,0
10013,680,Spain,Female,47,4,59251.15,1,1,0,101677.19,1
10014,808,Germany,Female,37,1,0.0,1,1,1,82612.22,0
10015,437,Spain,Female,20,4,0.0,4,1,0,136929.83,1
10016,722,France,Female,40,4,88783.34,3,0,1,141880.55,0
10017,449,France,Female,68,8,96842.61,1,1,0,37075.33,1
10018,709,Germany,Male,35,10,166328.01,1,1,1,130143.24,0
10019,501,Germany,Female,43,7,179205.67,1,0,0,80032.5,1
10020,480,Spain,Male,73,6,0.0,1,0,0,76199.48,1
10021,499,France,Male,53,2,0.0,1,1,0,120966.81,0
10022,658,France,Female,25,9,0.0,1,1,1,27573.97,0
10023,607,Spain,Male,34,3,34855.74,3,0,1,134136.57,0
10024,693,Germany,Male,48,5,124376.39,2,1,1,105566.55,0
10025,841,Spain,Male,54,2,0.0,2,1,0,133160.32,0
10026,763,Germany,Male,62,10,79901.3,2,1,0,149254.47,1
10027,643,Germany,Female,74,8,197192.06,1,1,0,84930.6,1
10028,735,France,Male,50,7,0.0,1,1,0,27590.4,0
10029,541,France,Male,44,5,0.0,1,1,0,37480.72,0
10030,793,France,Male,62,3,0.0,2,1,1,58688.46,0
10031,626,France,Male,21,6,181017.62,1,0,1,28979.65,0
10032,510,Germany,Female,39,10,173868.02,2,0,1,125071.15,0
10033,809,France,Male,43,2,47539.75,2,1,1,55077.16,0
10034,663,Spain,Male,49,9,16237.56,1,1,1,146744.64,0
10035,371,France,Female,41,7,0.0,1,1,0,109849.84,1
10036,602,France,Female,63,0,67273.74,2,1,1,38413.1,0
10037,585,France,Female,52,2,134416.88,3,0,1,79265.76,1
10038,694,France,Female,54,10,6423.95,2,0,0,78029.37,0
10039,398,Spain,Male,49,4,0.0,1,1,0,81489.07,0
10040,824,France,Male,24,4,137274.45,2,1,1,87318.31,0
10041,408,Spain,Male,50,9,42474.13,1,1,1,19208.37,0
10042,519,France,Female,48,1,171517.54,4,1,0,107650.65,1
10043,825,France,Male,72,9,11718.18,2,1,1,80770.89,0
10044,537,France,Male,29,7,43096.4,2,0,0,121780.33,0
10045,813,Spain,Male,28,4,0.0,1,1,1,125072.19,0
10046,620,Spain,Male,41,6,86615.22,2,1,0,46122.24,0
10047,539,France,Male,25,6,140593.13,1,1,0,21537.1,0
10048,795,France,Female,49,4,36532.61,1,0,1,109936.57,0
10049,524,Spain,Male,74,7,0.0,1,1,1,146997.98,1
10050,795,France,Female,55,8,145221.21,3,1,1,75298.83,1
10051,400,France,Female,39,3,62895.33,2,0,0,50047.73,0
10052,713,Germany,Male,51,3,165779.42,1,1,1,36150.71,0
10053,404,Spain,Male,36,7,120683.52,2,1,0,53805.16,0
10054,593,France,Male,69,0,77824.6,1,0,0,59269.14,1
10055,669,Germany,Male,37,3,111528.48,1,1,1,72223.09,0
